ticker,price,price_date,updated_at_utc,updated_at_madrid,market_status,confirmed_close,confirmed_close_date,change_from_close,change_from_close_percent
UNH,375.209991,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,375.209991,2026-09-17,0.0,0.0
UNP,282.480011,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,282.480011,2026-09-17,0.0,0.0
UPS,100.169998,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,100.169998,2026-09-17,0.0,0.0
USB,60.25,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,60.25,2026-09-17,0.0,0.0
V,369.929993,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,369.929993,2026-09-17,0.0,0.0
VB,290.910004,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,290.910004,2026-09-17,0.0,0.0
VICI,24.110001,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,24.110001,2026-09-17,0.0,0.0
VLO,412.529999,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,412.529999,2026-09-17,0.0,0.0
VMC,244.5,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,244.5,2026-09-17,0.0,0.0
VRT,241.490005,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,241.490005,2026-09-17,0.0,0.0
VRTX,516.340027,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,516.340027,2026-09-17,0.0,0.0
VTWO,115.650002,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,115.650002,2026-09-17,0.0,0.0
VZ,48.330002,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,48.330002,2026-09-17,0.0,0.0
WBD,28.24,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,28.24,2026-09-17,0.0,0.0
WEC,104.730003,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,104.730003,2026-09-17,0.0,0.0
